v2x_delay,e2e_delay,distance
69,827,316.8844524
55,417,311.6928117
107,872,286.291557
79,1397,286.291557
74,1283,286.2908333
475,1798,286.2908333
177,216,264.6569399
102,475,264.6569399
93,1568,264.6562696
48,1217,264.6562696
112,545,264.6562696
73,711,264.6144204
127,385,263.1812629
81,1359,263.1812629
75,1210,263.1812629
46,1190,263.1476345
101,174,263.1476345
75,1133,263.1476345
107,528,263.1476345
95,668,263.1476345
101,1256,263.1476345
107,1512,263.1470147
120,1254,262.7925145
121,884,262.7925145
54,949,262.7925145
112,1536,262.7925145
65,148,262.7925145
69,974,262.7925145
80,504,262.7925145
61,1365,262.7925145
94,684,262.7925145
69,1412,262.7925145
80,532,262.7925145
67,117,262.7925145
60,158,262.7925145
82,927,262.7925145
92,981,262.7925145
72,719,262.7925145
123,1542,262.7925145
73,1247,262.6851487
81,267,262.6851487
93,1451,262.6851487
92,856,262.6851487
101,413,262.6851487
64,804,262.6851487
69,983,262.6851487
96,1234,262.6851487
92,736,262.6851487
90,545,262.6851487
70,1543,262.6778288
132,1009,262.6778288
37,181,262.6510091
112,1500,262.6510091
98,282,262.6510091
71,507,262.6510091
65,195,262.6510091
117,1186,262.6504042
87,1521,262.6504042
78,105,262.6504042
72,962,262.3942893
136,733,262.3942893
42,1291,262.3942893
52,126,261.6505786
59,1226,261.6505786
65,200,261.6505786
70,588,261.6505786
42,647,261.6505786
71,771,261.6505786
59,1027,261.6505786
55,1222,261.6505786
57,1221,261.6505786
49,457,259.9172654
50,422,259.9172654
56,282,259.9172654
67,1164,259.9172654
59,895,259.9172654
64,1392,259.9172654
50,1267,259.9172654
69,1462,259.9099435
44,473,259.9099435
48,1169,259.9172654
44,1155,259.9172654
53,327,257.1675666
59,1073,257.1675666
54,1226,257.1675666
72,136,257.1675666
50,1430,257.1675666
42,125,257.1675666
59,1157,257.1602424
49,815,257.1602424
86,807,257.1602424
58,535,253.8018504
79,1500,253.8018504
67,175,253.8018504
81,1131,253.7945236
49,683,253.7945236
46,856,253.7945236
52,598,250.0114009
45,1157,250.0114009
76,932,250.0114009
54,749,250.0114009
49,705,250.0040718
47,1323,250.0040718
71,734,250.0040718
53,1529,187.8748915
51,1189,187.8748915
56,304,187.8127974
56,206,187.8116228
48,171,187.8262025
40,1455,179.9368463
60,347,179.9137639
55,524,179.9210503
41,1110,179.9344004
48,129,179.92956
69,623,179.927114
55,517,179.925892
49,1327,179.6368064
36,1406,179.6368064
53,1152,179.6368064
47,170,179.6368064
54,1262,171.5266537
69,855,171.5266537
62,1356,171.5266537
52,675,171.5266537
53,1549,171.5266537
51,692,171.5266537
58,919,171.5067994
56,363,171.5067994
52,641,171.5067994
70,853,163.1837854
67,778,163.1837854
67,558,163.1837854
56,1107,163.1837854
54,554,163.1837854
70,1146,163.1837854
51,410,163.1824684
61,796,163.1824684
32,1268,163.1824684
57,1228,163.1824684
78,1264,163.1824684
59,969,154.6771163
59,380,154.6771163
66,1257,154.6771163
49,647,154.6771163
59,1515,154.6771163
63,1401,154.6771163
55,727,154.6829915
65,405,154.6829915
56,1418,154.6829915
63,1153,145.9090097
65,1454,145.9090097
55,277,145.9090097
67,709,145.9090097
67,1306,145.9090097
68,1553,145.9090097
66,381,145.9090097
79,430,145.9090097
68,776,145.9090097
54,1238,145.9090097
87,138,136.8266012
70,161,136.8266012
63,1404,136.8266012
58,1530,136.8266012
58,951,136.8266012
61,1540,136.8266012
49,1262,136.8266012
47,1374,136.825034
81,1276,136.825034
69,1256,136.825034
67,594,127.4986321
65,424,127.4986321
72,1490,127.4986321
58,935,127.4986321
71,1251,127.4986321
62,1524,127.4986321
71,85,127.4986321
62,259,127.4969764
81,783,127.4969764
66,456,127.4969764
74,1361,117.9812608
61,592,117.9812608
48,630,117.9812608
66,576,117.9812608
52,490,117.9812608
51,338,117.9812608
48,451,117.9812608
58,1117,117.9812608
65,1305,117.9812608
51,727,117.9812608
60,178,108.2620095
50,1106,108.2620095
119,1453,108.2620095
54,1081,108.2620095
91,1447,108.2620095
62,1092,108.2620095
76,1307,108.2620095
22,1295,108.2547829
78,935,80.07431207
74,771,80.07431207
74,501,80.07431207
56,984,80.07431207
65,824,80.07431207
85,1164,80.07431207
61,1388,80.07431207
117,1602,80.07431207
70,156,80.07431207
94,339,80.07225923
56,228,80.07225923
66,1228,80.07225923
98,1439,80.07225923
70,594,80.07225923
61,338,80.07225923
99,1075,80.07225923
72,1119,80.07225923
79,498,80.07225923
59,180,80.07225923
59,551,80.06505431
55,1042,80.06505431
110,963,80.06505431
53,959,80.06505431
71,1521,80.06505431
106,888,80.06505431
51,1469,80.06505431
108,751,80.06505431
53,1361,80.06505431
80,1333,80.06300278
99,685,80.06300278
52,905,80.06300278
65,1154,80.06300278
74,830,80.06300278
60,905,64.06127742
43,823,64.06127742
103,144,64.06127742
51,1400,64.06127742
61,1371,64.06127742
53,1400,64.06127742
90,1370,64.05899899
57,872,64.05899899
93,203,64.05899899
55,1439,64.05899899
52,1051,64.05899899
81,289,64.05899899
57,842,64.05899899
61,1094,64.05899899
78,895,64.05899899
76,174,56.89262622
47,1234,56.88547836
61,240,56.88547836
74,102,56.88547836
56,645,56.88547836
61,652,56.88547836
55,570,56.88547836
81,1415,50.18985835
61,971,50.18985835
65,530,50.18985835
71,207,50.18985835
67,249,50.18985835
56,1233,50.18985835
81,1313,50.18985835
64,1174,50.18985835
90,92,50.18985835
76,1015,50.18985835
72,1508,50.18985835
84,887,50.18985835
96,967,50.18985835
52,1348,50.18985835
67,536,50.18274529
56,909,50.18274529
53,356,50.18274529
109,1263,37.82409747
92,488,37.82409747
59,671,37.82409747
90,488,37.82409747
57,630,37.82409747
107,1071,37.82409747
58,1188,37.82409747
52,1044,37.82409747
104,1419,37.82409747
52,1184,37.82409747
40,453,37.82409747
73,1376,37.82409747
61,850,37.82409747
59,1171,37.82409747
48,311,37.82409747
52,1307,37.82409747
76,1175,37.82409747
46,74,37.81709997
86,1367,37.81709997
57,307,31.77350838
72,333,31.77350838
75,438,31.77350838
54,1529,31.77350838
61,946,31.77350838
58,430,31.77350838
57,1191,31.77350838
70,973,31.77350838
69,847,25.74663369
48,1001,25.74663369
81,1548,25.74663369
67,1480,19.69621956
77,420,19.69621956
87,1482,19.69621956
58,826,19.69621956
55,932,19.69621956
61,525,19.69621956
49,1465,19.69621956
62,82,19.69057843
55,113,19.69057843
52,1464,19.69057843
47,1473,19.69057843
67,216,19.69057843
72,562,19.69057843
49,942,19.69057843
62,1393,19.69057843
40,1359,19.69057843
79,257,19.69057843
